Node label	Matching Sequences
	OmyJC19ROGR_0280b
	OmyJC19ROGR_0209a
	OmyJC19ROGR_0209b
	OmyJC19ROGR_0265a
	OmyJC19ROGR_0265b
	OmyJC19ROGR_0273a
	OmyJC19ROGR_0281a
	OmyJC19ROGR_0218a
	OmyJC19ROGR_0218b
	OmyJC19ROGR_0234a
	OmyJC19ROGR_0250a
	OmyJC19ROGR_0211a
	OmyJC19ROGR_0227a
	OmyJC19ROGR_0235a
	OmyJC19ROGR_0196a
	OmyJC19ROGR_0196b
	OmyJC19ROGR_0212a
	OmyJC19ROGR_0228b
	OmyJC19ROGR_0252a
	OmyJC19ROGR_0268
OmyAC19ROGR_5083a	OmyAC19ROGR_5083a
	OmyAC19ROGR_4306a
	OmyAC19ROGR_5446a
	OmyAC19ROGR_4650a
	OmyAC19ROGR_5328a
	OmyJC19ROGR_0074a
	OmyJC19ROGR_0051a
	OmyJC19ROGR_0004a
	OmyJC19ROGR_0029a
	OmyJC19ROGR_0079a
	OmyJC19ROGR_0056a
	OmyJC19ROGR_0097a
	OmyJC19ROGR_0146b
	OmyJC19ROGR_0162b
	OmyAC19ROGR_5836b
	OmyAC19ROGR_5698a
	OmyAC19ROGR_5629a
	OmyAC19ROGR_5898b
	OmyAC19ROGR_5712a
	OmyAC19ROGR_5938a
	OmyAC19ROGR_5666a
	OmyJC18ROGR_0142a
	OmyJC18ROGR_0115b
	OmyJC18ROGR_0337a
	OmyJC18ROGR_0319a
	OmyJC18ROGR_0545a
	OmyJC18ROGR_0605a
	OmyJC18ROGR_1025a
	OmyJC18ROGR_0621a
	OmyJC19ROGR_0216a
OmyAC19ROGR_4239a	OmyAC19ROGR_4239a
	OmyAC19ROGR_5129b
	OmyAC19ROGR_5455a
	OmyJC19ROGR_0001a
	OmyJC19ROGR_0063a
	OmyJC19ROGR_0040b
	OmyJC19ROGR_0064a
	OmyJC19ROGR_0160a
	OmyJC19ROGR_0176a
	OmyJC19ROGR_0176b
	OmyAC19ROGR_6072a
	OmyAC19ROGR_5697a
	OmyAC19ROGR_5893a
	OmyAC19ROGR_5819b
	OmyJC18ROGR_0131a
	OmyJC18ROGR_0325b
	OmyJC18ROGR_0407a
	OmyJC18ROGR_0427b
	OmyJC18ROGR_0539a
	OmyJC18ROGR_0615a
	OmyJC18ROGR_0911a
	OmyJC18ROGR_1008a
	OmyJC18ROGR_0629a
	OmyJC18ROGR_0907a
	OmyJC18ROGR_0250a
	OmyJC19ROGR_0284a
	OmyJC19ROGR_0070a
	OmyJC19ROGR_0313a
	OmyJC19ROGR_0221a
	OmyJC19ROGR_0245a
	OmyJC19ROGR_0269a
	OmyJC19ROGR_0278a
	OmyJC19ROGR_0217a
	OmyJC19ROGR_0249b
	OmyJC19ROGR_0258b
OmyJC19ROGR_0113a	OmyJC19ROGR_0113a
	OmyAC19ROGR_5627a
	OmyJC18ROGR_0111b
	OmyJC18ROGR_0316a
	OmyJC18ROGR_0426a
	OmyJC18ROGR_0538a
	OmyJC19ROGR_0286a
	OmyJC19ROGR_0313b
	OmyJC19ROGR_0191b
OmyAC19ROGR_3410a	OmyAC19ROGR_3410a
	OmyAC19ROGR_4154a
	OmyAC19ROGR_4154b
	OmyAC19ROGR_4253b
	OmyAC19ROGR_4557a
	OmyAC19ROGR_4971b
	OmyAC19ROGR_5056b
	OmyAC19ROGR_5250b
	OmyAC19ROGR_5417b
