pop	clust1	clust2
halfpounder	0.4487	0.5513
halfpounder	0.4913	0.5087
halfpounder	0.4969	0.5031
halfpounder	0.4798	0.5202
halfpounder	0.7032	0.2968
halfpounder	0.7058	0.2942
halfpounder	0.6506	0.3494
halfpounder	0.6986	0.3014
halfpounder	0.4488	0.5512
halfpounder	0.5041	0.4959
halfpounder	0.5248	0.4752
halfpounder	0.4703	0.5297
halfpounder	0.3885	0.6115
halfpounder	0.7590	0.2410
halfpounder	0.7395	0.2605
halfpounder	0.4485	0.5515
winter	0.5902	0.4098
halfpounder	0.5504	0.4496
winter	0.6640	0.3360
winter	0.7442	0.2558
winter	0.5179	0.4821
halfpounder	0.6245	0.3755
winter	0.6545	0.3455
summer	0.4947	0.5053
halfpounder	0.5797	0.4203
summer	0.4551	0.5449
summer	0.6288	0.3712
summer	0.6047	0.3953
summer	0.5521	0.4479
summer	0.6151	0.3849
winter	0.4684	0.5316
halfpounder	0.5850	0.4150
winter	0.6036	0.3964
winter	0.6994	0.3006
winter	0.6463	0.3537
winter	0.5003	0.4997
halfpounder	0.2706	0.7294
winter	0.6359	0.3641
summer	0.4661	0.5339
summer	0.7332	0.2668
summer	0.6548	0.3452
summer	0.4924	0.5076
summer	0.4709	0.5291
summer	0.6103	0.3897
winter	0.7229	0.2771
winter	0.5784	0.4216
winter	0.7580	0.2420
winter	0.6206	0.3794
winter	0.5355	0.4645
halfpounder	0.4308	0.5692
winter	0.5193	0.4807
summer	0.5089	0.4911
halfpounder	0.5463	0.4537
summer	0.6975	0.3025
summer	0.4619	0.5381
summer	0.6583	0.3417
summer	0.6405	0.3595
winter	0.4789	0.5211
winter	0.6813	0.3187
winter	0.5136	0.4864
winter	0.5881	0.4119
halfpounder	0.4386	0.5614
winter	0.5274	0.4726
halfpounder	0.4944	0.5056
summer	0.6494	0.3506
summer	0.7912	0.2088
summer	0.5504	0.4496
summer	0.5307	0.4693
summer	0.6341	0.3659
winter	0.5206	0.4794
halfpounder	0.4740	0.5260
winter	0.6526	0.3474
winter	0.6524	0.3476
winter	0.6162	0.3838
winter	0.5686	0.4314
halfpounder	0.6039	0.3961
winter	0.5713	0.4287
halfpounder	0.1964	0.8036
summer	0.7229	0.2771
halfpounder	0.2552	0.7448
summer	0.5662	0.4338
summer	0.5162	0.4838
summer	0.5517	0.4483
summer	0.6729	0.3271
winter	0.4531	0.5469
halfpounder	0.6362	0.3638
winter	0.6358	0.3642
winter	0.6388	0.3612
winter	0.6449	0.3551
winter	0.5312	0.4688
halfpounder	0.4441	0.5559
halfpounder	0.5727	0.4273
summer	0.5980	0.4020
summer	0.6861	0.3139
summer	0.7749	0.2251
summer	0.6843	0.3157
summer	0.6809	0.3191
halfpounder	0.6230	0.3770
winter	0.6879	0.3121
winter	0.7206	0.2794
winter	0.6054	0.3946
winter	0.5315	0.4685
summer	0.5104	0.4896
summer	0.6122	0.3878
summer	0.6668	0.3332
summer	0.6766	0.3234
summer	0.7115	0.2885
halfpounder	0.4117	0.5883
winter	0.6670	0.3330
winter	0.6047	0.3953
winter	0.5794	0.4206
halfpounder	0.3679	0.6321
halfpounder	0.5194	0.4806
summer	0.5736	0.4264
summer	0.5265	0.4735
summer	0.7955	0.2045
summer	0.6295	0.3705
summer	0.6668	0.3332
halfpounder	0.3365	0.6635
halfpounder	0.3294	0.6706
halfpounder	0.5143	0.4857
halfpounder	0.2044	0.7956
halfpounder	0.5682	0.4318
