pop	clust1	clust2	clust3
halfpounder	0.2980	0.1983	0.5038
halfpounder	0.2417	0.2308	0.5275
halfpounder	0.5455	0.1682	0.2863
halfpounder	0.4452	0.1402	0.4145
halfpounder	0.6251	0.1673	0.2076
halfpounder	0.3718	0.1327	0.4955
halfpounder	0.5435	0.3295	0.1270
halfpounder	0.4541	0.1054	0.4405
halfpounder	0.7216	0.0742	0.2042
halfpounder	0.4322	0.2065	0.3613
halfpounder	0.5667	0.1767	0.2566
halfpounder	0.5118	0.1320	0.3562
halfpounder	0.5121	0.0815	0.4064
halfpounder	0.5399	0.1894	0.2707
halfpounder	0.5499	0.1656	0.2845
halfpounder	0.1404	0.1921	0.6675
halfpounder	0.4879	0.2392	0.2728
halfpounder	0.1846	0.4126	0.4027
halfpounder	0.2241	0.2286	0.5473
halfpounder	0.4851	0.1661	0.3488
halfpounder	0.2724	0.5971	0.1305
halfpounder	0.5196	0.1006	0.3798
halfpounder	0.5508	0.2979	0.1513
halfpounder	0.2473	0.3689	0.3837
halfpounder	0.4168	0.2703	0.3130
halfpounder	0.2306	0.6121	0.1573
halfpounder	0.3187	0.1775	0.5037
halfpounder	0.5289	0.2895	0.1817
halfpounder	0.4234	0.1847	0.3919
halfpounder	0.3776	0.1632	0.4592
halfpounder	0.4138	0.1450	0.4413
halfpounder	0.3214	0.2496	0.4289
halfpounder	0.3443	0.3967	0.2589
halfpounder	0.3965	0.4639	0.1397
halfpounder	0.1987	0.1794	0.6219
halfpounder	0.3268	0.3002	0.3729
halfpounder	0.7094	0.0918	0.1988
halfpounder	0.3277	0.2891	0.3832
halfpounder	0.3817	0.2017	0.4167
halfpounder	0.4782	0.2337	0.2880
halfpounder	0.2908	0.3097	0.3996
halfpounder	0.3209	0.3367	0.3425
halfpounder	0.3069	0.1880	0.5051
halfpounder	0.3695	0.3420	0.2886
halfpounder	0.1735	0.1116	0.7149
halfpounder	0.5621	0.1906	0.2472
halfpounder	0.6165	0.2000	0.1836
halfpounder	0.3340	0.1827	0.4833
halfpounder	0.2246	0.5526	0.2228
halfpounder	0.4370	0.3368	0.2262
halfpounder	0.4684	0.1178	0.4138
halfpounder	0.1794	0.2696	0.5510
halfpounder	0.0900	0.8463	0.0637
halfpounder	0.5382	0.1731	0.2887
halfpounder	0.2460	0.6721	0.0819
halfpounder	0.3876	0.1112	0.5013
halfpounder	0.2865	0.1857	0.5278
halfpounder	0.5229	0.1155	0.3616
halfpounder	0.4246	0.1686	0.4068
halfpounder	0.4374	0.1837	0.3789
halfpounder	0.5398	0.2902	0.1700
halfpounder	0.5182	0.0935	0.3883
halfpounder	0.0599	0.8885	0.0516
halfpounder	0.3120	0.3983	0.2898
halfpounder	0.2546	0.2286	0.5168
halfpounder	0.7436	0.0546	0.2018
halfpounder	0.4813	0.1636	0.3551
halfpounder	0.4210	0.1846	0.3944
halfpounder	0.3841	0.3316	0.2844
halfpounder	0.6266	0.1419	0.2315
halfpounder	0.1707	0.3505	0.4787
halfpounder	0.4043	0.2472	0.3485
halfpounder	0.2277	0.2785	0.4937
halfpounder	0.3966	0.1757	0.4277
halfpounder	0.4643	0.3101	0.2256
halfpounder	0.5224	0.2181	0.2595
halfpounder	0.2867	0.0876	0.6257
halfpounder	0.2569	0.3776	0.3654
halfpounder	0.5215	0.1321	0.3464
halfpounder	0.5866	0.1346	0.2788
halfpounder	0.3899	0.1512	0.4589
halfpounder	0.3842	0.2995	0.3162
halfpounder	0.6961	0.1557	0.1482
halfpounder	0.6512	0.1131	0.2357
halfpounder	0.1647	0.1569	0.6784
halfpounder	0.1651	0.7411	0.0938
halfpounder	0.2699	0.4092	0.3209
halfpounder	0.4529	0.3047	0.2425
halfpounder	0.4195	0.2710	0.3095
halfpounder	0.2579	0.4185	0.3237
halfpounder	0.7546	0.0826	0.1628
halfpounder	0.0955	0.1644	0.7401
halfpounder	0.4300	0.2534	0.3166
halfpounder	0.5542	0.3333	0.1125
halfpounder	0.4547	0.1434	0.4019
halfpounder	0.1115	0.4042	0.4844
halfpounder	0.1699	0.1924	0.6376
halfpounder	0.2355	0.2771	0.4874
halfpounder	0.6150	0.2615	0.1235
halfpounder	0.3162	0.2519	0.4320
halfpounder	0.3919	0.4011	0.2070
halfpounder	0.3195	0.1152	0.5653
halfpounder	0.3860	0.3047	0.3093
halfpounder	0.0556	0.8833	0.0611
halfpounder	0.3923	0.3546	0.2530
halfpounder	0.1294	0.0810	0.7896
halfpounder	0.6800	0.0959	0.2241
halfpounder	0.1889	0.1814	0.6296
halfpounder	0.2920	0.1719	0.5361
halfpounder	0.3804	0.4775	0.1421
halfpounder	0.1644	0.0957	0.7399
halfpounder	0.1428	0.3420	0.5152
halfpounder	0.4684	0.3277	0.2039
halfpounder	0.1348	0.1651	0.7001
halfpounder	0.3788	0.2700	0.3512
halfpounder	0.3719	0.5089	0.1192
halfpounder	0.5692	0.2450	0.1858
halfpounder	0.4851	0.3826	0.1323
halfpounder	0.3526	0.1855	0.4619
halfpounder	0.7323	0.0884	0.1793
halfpounder	0.4492	0.3323	0.2185
halfpounder	0.4292	0.1472	0.4237
halfpounder	0.5002	0.3287	0.1711
halfpounder	0.2897	0.0955	0.6148
halfpounder	0.6882	0.1451	0.1666
halfpounder	0.4244	0.1067	0.4689
halfpounder	0.0950	0.7918	0.1132
halfpounder	0.4088	0.3169	0.2744
halfpounder	0.2892	0.1813	0.5295
halfpounder	0.3180	0.2592	0.4227
halfpounder	0.3319	0.4914	0.1768
halfpounder	0.6665	0.1435	0.1899
halfpounder	0.5750	0.1980	0.2269
halfpounder	0.2392	0.1254	0.6353
halfpounder	0.7108	0.0609	0.2282
halfpounder	0.5468	0.2447	0.2085
halfpounder	0.6551	0.0990	0.2459
halfpounder	0.6811	0.1621	0.1569
halfpounder	0.2289	0.4392	0.3318
halfpounder	0.2537	0.0950	0.6513
