pop	clust1	clust2	clust3	clust4
halfpounder	0.2703	0.1493	0.0761	0.5043
halfpounder	0.4250	0.1787	0.1163	0.2800
halfpounder	0.3651	0.0975	0.3107	0.2268
halfpounder	0.3912	0.2018	0.2058	0.2011
halfpounder	0.6252	0.1110	0.0804	0.1834
fall	0.1536	0.1420	0.2003	0.5041
fall	0.1149	0.4309	0.1870	0.2673
fall	0.2129	0.0890	0.0698	0.6282
fall	0.3837	0.1551	0.0748	0.3864
fall	0.1835	0.1740	0.0824	0.5601
fall	0.4013	0.1250	0.3063	0.1673
fall	0.5052	0.1000	0.1098	0.2850
fall	0.6892	0.0744	0.0810	0.1553
fall	0.5383	0.0527	0.1090	0.3000
fall	0.4184	0.3314	0.0661	0.1840
fall	0.2922	0.1840	0.3097	0.2141
fall	0.3496	0.2333	0.0980	0.3191
fall	0.6398	0.0776	0.0753	0.2073
fall	0.2597	0.4505	0.1193	0.1706
fall	0.2437	0.2377	0.2363	0.2823
fall	0.2998	0.0516	0.1880	0.4606
fall	0.1428	0.6479	0.0815	0.1279
fall	0.0764	0.1165	0.6515	0.1556
fall	0.3544	0.1206	0.2343	0.2908
fall	0.2050	0.2295	0.1491	0.4164
fall	0.1693	0.3106	0.4104	0.1097
fall	0.0710	0.2336	0.3742	0.3212
fall	0.2868	0.2525	0.1308	0.3298
fall	0.5269	0.0943	0.1427	0.2361
fall	0.1943	0.2557	0.1696	0.3804
fall	0.4006	0.1579	0.2352	0.2062
fall	0.6768	0.0607	0.1230	0.1395
fall	0.4283	0.0873	0.1988	0.2856
fall	0.4095	0.0594	0.1623	0.3688
fall	0.0284	0.9174	0.0201	0.0340
fall	0.0466	0.5949	0.3094	0.0492
fall	0.4454	0.1751	0.1520	0.2274
fall	0.0320	0.8980	0.0366	0.0334
fall	0.2692	0.4451	0.1103	0.1754
fall	0.2946	0.1816	0.1394	0.3843
fall	0.2248	0.0920	0.5026	0.1805
fall	0.4174	0.3395	0.0614	0.1816
fall	0.3016	0.0545	0.0488	0.5950
fall	0.0942	0.0673	0.5846	0.2539
fall	0.2153	0.6011	0.0516	0.1320
fall	0.3127	0.0831	0.2661	0.3381
fall	0.3246	0.2465	0.1875	0.2415
fall	0.4581	0.1071	0.1909	0.2439
fall	0.0647	0.8360	0.0413	0.0580
fall	0.1444	0.5918	0.1487	0.1150
fall	0.3608	0.1464	0.1459	0.3469
fall	0.1009	0.3511	0.4309	0.1171
fall	0.5759	0.0798	0.1648	0.1795
fall	0.1822	0.5422	0.0676	0.2080
fall	0.4174	0.0687	0.2815	0.2325
fall	0.2984	0.2048	0.1516	0.3452
fall	0.1006	0.7597	0.0434	0.0963
fall	0.2782	0.3528	0.0946	0.2744
fall	0.0719	0.6069	0.0864	0.2349
fall	0.5260	0.0945	0.1435	0.2360
fall	0.3267	0.1051	0.2827	0.2854
fall	0.2482	0.1951	0.3163	0.2404
fall	0.4261	0.1950	0.0817	0.2971
fall	0.6502	0.0600	0.0541	0.2356
fall	0.1197	0.0604	0.6518	0.1680
fall	0.2969	0.0422	0.3607	0.3002
fall	0.4183	0.0420	0.2401	0.2997
fall	0.5005	0.0364	0.2903	0.1728
fall	0.3702	0.0551	0.1775	0.3971
fall	0.0930	0.3564	0.0713	0.4794
